"","ID","LMT_Date","Age","Sex","Year","site","dist_hub","Stage"
"206",128,2014-07-04,"Adult","Male",2014,"Webb",257.325384800582,"3Post_Hunt"
"207",128,2014-07-05,"Adult","Male",2014,"Webb",233.066301535844,"3Post_Hunt"
"208",128,2014-07-06,"Adult","Male",2014,"Webb",346.867832441682,"3Post_Hunt"
"209",128,2014-07-07,"Adult","Male",2014,"Webb",297.683179558323,"3Post_Hunt"
"210",128,2014-07-08,"Adult","Male",2014,"Webb",217.971292393079,"3Post_Hunt"
"211",128,2014-07-09,"Adult","Male",2014,"Webb",301.075461321491,"3Post_Hunt"
"212",128,2014-07-10,"Adult","Male",2014,"Webb",253.137223893542,"3Post_Hunt"
"213",128,2014-07-11,"Adult","Male",2014,"Webb",196.836206902659,"3Post_Hunt"
"214",128,2014-07-12,"Adult","Male",2014,"Webb",386.998767714674,"3Post_Hunt"
"215",128,2014-07-13,"Adult","Male",2014,"Webb",453.251214111152,"3Post_Hunt"
"216",128,2014-07-14,"Adult","Male",2014,"Webb",311.654150697738,"3Post_Hunt"
"217",128,2014-07-15,"Adult","Male",2014,"Webb",291.421083827635,"3Post_Hunt"
"218",128,2014-07-16,"Adult","Male",2014,"Webb",324.386637219982,"3Post_Hunt"
"219",128,2014-07-17,"Adult","Male",2014,"Webb",230.902117663432,"3Post_Hunt"
"220",128,2014-07-18,"Adult","Male",2014,"Webb",317.467654731712,"3Post_Hunt"
"221",128,2014-07-19,"Adult","Male",2014,"Webb",222.962766158012,"3Post_Hunt"
"222",128,2014-07-20,"Adult","Male",2014,"Webb",191.057813430112,"3Post_Hunt"
"223",128,2014-07-21,"Adult","Male",2014,"Webb",223.744816547411,"3Post_Hunt"
"224",128,2014-07-22,"Adult","Male",2014,"Webb",188.927442611193,"3Post_Hunt"
"225",128,2014-07-23,"Adult","Male",2014,"Webb",287.402872156737,"3Post_Hunt"
"226",128,2014-07-24,"Adult","Male",2014,"Webb",491.014772116923,"3Post_Hunt"
